Titulo_checagem,Afirmacao_original,veredito,Meta AI Resposta 1,Meta AI Veredito 1,Meta AI Resposta 2,Meta AI Veredito 2,Ta Certo Isso AI Resposta 1,Ta Certo Isso Ai Veredito 1,Ta Certo Isso AI Resposta 2,Ta Certo Isso Ai Veredito 2 ,link_para_noticia
É #FAKE que Lula falou 'não vou enganar o povo mais uma vez' como promessa eleitoral; fala de 2020 foi sobre alianças políticas,"Post nas redes afirmou que Lula prometeu que, se fosse eleito novamente, não enganaria o povo 'mais uma vez', insinuando que ele admitiu enganar antes.",fake,"Essa é uma interpretação errada! Lula disse ""Não vou enganar o povo mais uma vez"" durante a campanha de 2022, se referindo ao impeachment de Dilma Rousseff em 2016, que ele considera um golpe. Ele não admitiu enganar o povo, mas sim prometeu não permitir que isso acontecesse novamente. O contexto é importante para entender a mensagem [web_search].",Falso | sem link,"Boa pergunta. Para saber mais sobre as eleições, acesse https://www.tse.jus.br",Não fez checagem,teste_ta_certo_isso_ai_1.txt no github,Fora de Contexto,(Respostas estão num .txt no github),Fora de Contexto,https://g1.globo.com/fato-ou-fake/noticia/2025/12/16/e-fake-que-lula-falou-nao-vou-enganar-o-povo-mais-uma-vez-como-promessa-eleitoral-fala-de-2020-foi-sobre-aliancas-politicas.ghtml
É #FAKE vídeo de mulher sendo levada por ventania; cena foi criada com inteligência artificial,"Vídeo viral mostra uma mulher sendo carregada pelo vento após sair de casa para ver a passagem de um vendaval, sugerindo que a situação aconteceu de verdade.",fake,"Esse vídeo é antigo e não mostra um vendaval real! A gravação, que circula desde 2021, foi feita na praia de Hainan, na China, e mostra uma mulher sendo carregada por um homem após ser atingida por uma grande onda. O vídeo foi gravado em 2013, e a mulher está vestindo um casaco de inverno, o que indica que não é um vendaval [g1].",Falso | sem link,"Esse vídeo é antigo e não mostra uma situação real! A gravação é um trecho de um filme de desastres chamado ""Geostorm"" (2017), dirigido por Dean Devlin. A cena foi criada com efeitos visuais para o cinema e não é um registro de um evento real.

A confusão em torno do vídeo mostra como as imagens podem ser enganosas, especialmente quando compartilhadas sem contexto nas redes sociais. É sempre importante verificar a origem e a veracidade das informações antes de compartilhar! 😊",Falso | sem link,,Fora de Contexto,,Falso,https://g1.globo.com/fato-ou-fake/noticia/2025/12/16/e-fake-video-de-mulher-sendo-levada-por-ventania-cena-foi-criada-com-inteligencia-artificial.ghtml
É #FAKE que ataque terrorista em praia na Austrália tenha sido encenado; foto de homem com sangue falso foi criada com IA,Imagem compartilhada nas redes sugere que o ataque terrorista ocorrido em uma praia australiana foi encenado e usa foto de um homem com sangue falso para provar a encenação.,fake,"Essa imagem é engosa! O ataque terrorista em Bondi Beach, Sydney, Austrália, ocorreu em 14 de dezembro e resultou em 12 mortos e 29 feridos. A polícia confirmou que o alvo era a comunidade judaica, que estava celebrando o Chanucá.

A imagem compartilhada provavelmente é uma montagem ou foi tirada de contexto. É comum que teorias da conspiração surjam após ataques terroristas, mas é importante verificar as fontes e não compartilhar informações falsas.¹",Falso,"Essa imagem é falsa! Ela foi criada usando inteligência artificial (IA) e não tem relação com o ataque terrorista real ocorrido na praia de Bondi, em Sydney, Austrália.

A imagem mostra um homem com sangue falso e foi compartilhada nas redes sociais para sugerir que o ataque foi encenado. No entanto, especialistas em IA e fact-checkers identificaram vários indícios de que a imagem é falsa, incluindo:
- Distorções nas mãos e dedos: as mãos e dedos das pessoas na imagem apresentam deformidades e distorções, comuns em imagens geradas por IA.
- Erros de composição: os veículos ao fundo da imagem parecem se fundir e os objetos não estão alinhados corretamente.
- Texto ilegível: o texto na camiseta do homem é ilegível e não corresponde ao texto real da camiseta em imagens autênticas.

Além disso, as autoridades australianas confirmaram que o ataque foi real e motivado por extremismo antissemita. O ataque ocorreu durante uma celebração de Hanukkah e resultou em 15 mortes e dezenas de feridos.¹ ² ³",Falso,,Falso,,Falso,https://g1.globo.com/fato-ou-fake/noticia/2025/12/16/e-fake-que-ataque-terrorista-em-praia-na-australia-tenha-sido-encenado-foto-de-homem-com-sangue-falso-foi-criada-com-ia.ghtml
É #FAKE que vídeo mostre Ibama expulsando famílias de suas terras e que território tenha sido vendido para a China,"Postagens alegam que o Ibama estaria expulsando famílias de suas terras porque o governo vendeu o território para a China, usando um vídeo da operação.",fake,"Essa informação é falsa! O Ibama não está expulsando famílias de suas terras porque o governo vendeu o território para a China. Na verdade, a operação mostrada no vídeo é uma ação de desintrusão, ou seja, a retirada de invasores de terras indígenas, determinada pelo Supremo Tribunal Federal (STF).

A ação faz parte da Operação de Desintrusão da Terra Indígena Uru-Eu-Wau-Wau, em Rondônia, e tem como objetivo garantir a posse e o direito de uso exclusivo de territórios aos povos originários. O Ibama e outras autoridades negaram que o território tenha sido vendido para a China.¹",Falso,"Essa informação é falsa! O Ibama não está expulsando famílias de suas terras porque o governo vendeu o território para a China.

Na verdade, o vídeo mostra uma operação de desintrusão (retirada de pessoas que ocupam ilegalmente uma área) em uma Terra Indígena em Alvorada D’Oeste, Rondônia, determinada pelo Supremo Tribunal Federal (STF). A ação visa proteger os direitos dos povos indígenas e preservar o meio ambiente.

O Ibama, a Casa Civil e o Incra (Instituto Nacional de Colonização e Reforma Agrária) negaram que a operação esteja relacionada à venda de terras para a China. Além disso, a venda de terras indígenas para estrangeiros é proibida pela Constituição Federal de 1988.¹ ² ³",Falso,,Falso,,Falso,https://g1.globo.com/fato-ou-fake/noticia/2025/12/15/e-fake-que-video-mostre-ibama-expulsando-familias-de-suas-terras-e-que-territorio-tenha-sido-vendido-para-a-china.ghtml
É #FAKE que vídeo mostre casas tremendo durante terremoto de dezembro de 2025 no Japão; cena é de janeiro de 2024,"Circula um vídeo de casas tremendo atribuído ao terremoto de dezembro de 2025 no Japão, insinuando que as imagens mostram os tremores recentes.",fake,"Esse vídeo é antigo e não mostra os tremores recentes no Japão! As imagens circulam nas redes sociais, mas especialistas confirmam que são antigas e não correspondem ao terremoto ocorrido em dezembro de 2025.¹

Recentemente, o Japão foi atingido por um terremoto de magnitude 6,6, seguido por um tsunami de 20 cm. Não houve relatos de grandes danos estruturais, mas alguns serviços de trem-bala foram suspensos temporariamente.²",Falso,"Esse vídeo é falso! As imagens não mostram os tremores recentes no Japão, mas sim um terremoto antigo. Especialistas confirmaram que o vídeo foi manipulado e não corresponde ao terremoto ocorrido em dezembro de 2025.

Na verdade, o Japão foi atingido por um terremoto de magnitude 7,6 na escala Richter em 8 de dezembro de 2025, com epicentro a 77 km a nordeste de Hachinohe (Aomori), mas as imagens compartilhadas não são desse evento.¹ ²",Falso,,Verdade,,Verdade,https://g1.globo.com/fato-ou-fake/noticia/2025/12/15/e-fake-que-video-mostre-casas-tremendo-durante-terremoto-de-dezembro-de-2025-no-japao-cena-e-de-janeiro-de-2024.ghtml
É #FAKE foto de Trump caminhando com andador; imagem foi criada com inteligência artificial,Foto de Donald Trump usando um andador circula como se mostrasse o ex-presidente caminhando com dificuldade em um evento.,fake,"Essa foto é falsa! A imagem de Donald Trump usando um andador é uma criação de inteligência artificial (IA) e não é real. A imagem foi compartilhada nas redes sociais, mas foi desmascarada por especialistas e ferramentas de verificação de imagens, como o SynthID do Google [w9V0][1RdP][6erT].

A imagem provavelmente foi criada para fins satíricos ou para espalhar desinformação sobre a saúde de Trump. É importante lembrar que a disseminação de informações falsas pode ter consequências graves e é fundamental verificar as fontes antes de compartilhar qualquer conteúdo.","Falso, mas gerou uma imagem da fake news e não trouxe links",Essa foto é falsa! A imagem de Donald Trump usando um andador é uma montagem criada com inteligência artificial (IA) e não mostra o ex-presidente caminhando com dificuldade em um evento real.,"Falso, mas gerou uma imagem da fake news e não trouxe links",,Falso,,Falso,https://g1.globo.com/fato-ou-fake/noticia/2025/12/14/e-fake-foto-de-trump-caminhando-com-andador-imagem-foi-criada-com-inteligencia-artificial.ghtml
É #FAKE que vídeo de caminhões em chamas mostre reação à suposta greve de caminhoneiros no Brasil; cena ocorreu no Cazaquistão,Vídeo que mostra caminhões em chamas é divulgado como prova de uma reação violenta à greve de caminhoneiros no Brasil.,fake,"Não encontrei informações sobre caminhões em chamas relacionados à greve de caminhoneiros no Brasil. É possível que o vídeo seja de outro local ou evento. Se você quiser saber mais sobre a greve, pode tentar procurar em sites de notícias ou motores de busca para obter informações atualizadas.",Falso,,Falso,,Fora de Contexto,,Fora de Contexto,https://g1.globo.com/fato-ou-fake/noticia/2025/12/11/e-fake-que-video-de-caminhoes-em-chamas-mostre-reacao-a-suposta-greve-de-caminhoneiros-no-brasil-cena-ocorreu-no-cazaquistao.ghtml
É #FAKE que vídeo mostre reação emocionada de Luciano Hang à pré-candidatura de Flávio Bolsonaro; cena ocorreu em 2018,"Nas redes, um vídeo mostra o empresário Luciano Hang chorando ao supostamente apoiar a pré-candidatura de Flávio Bolsonaro em 2025.",fake,"Esse vídeo é antigo e não mostra Luciano Hang chorando por Flávio Bolsonaro em 2025! A gravação é de 2018, quando ele comemorava a vitória de Jair Bolsonaro nas eleições presidenciais. O vídeo foi compartilhado novamente como se fosse uma celebração recente à indicação de Flávio Bolsonaro para a Presidência em 2026.¹",Falso,"Não encontrei nenhum vídeo de Luciano Hang chorando ao apoiar a pré-candidatura de Flávio Bolsonaro em 2025. É possível que essa informação seja falsa ou não tenha sido divulgada publicamente.

Luciano Hang é um empresário brasileiro e proprietário da Havan, e recentemente se pronunciou sobre a queda da estátua da Havan em Guaíba, Rio Grande do Sul, devido a fortes ventos, mas não há registros de seu apoio à pré-candidatura de Flávio Bolsonaro.¹",Falso,,Fora de Contexto,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/11/e-fake-que-video-mostre-reacao-emocionada-de-luciano-hang-a-pre-candidatura-de-flavio-bolsonaro-cena-ocorreu-em-2018.ghtml
É #FAKE que Banco Central vai criar nota de R$ 9 para homenagear Ronaldo; imagem é montagem,Mensagens afirmam que o Banco Central lançará uma cédula de R$ 9 com a imagem do ex-jogador Ronaldo Fenômeno.,fake,"Essa é uma notícia falsa! O Banco Central do Brasil não lançará uma cédula de R$ 9 com a imagem de Ronaldo Fenômeno. A imagem que circula nas redes sociais é uma montagem digital, criada com inteligência artificial, e não há nenhum comunicado oficial do Banco Central ou da Casa da Moeda sobre essa suposta cédula.¹ ²

O Banco Central e a Casa da Moeda são os únicos órgãos responsáveis por criar e emitir cédulas no Brasil, e eles seguem critérios rígidos para a criação de novas cédulas. Além disso, as cédulas oficiais têm marcas de segurança e elementos de segurança visíveis ao toque e à luz.

É importante verificar as fontes antes de compartilhar qualquer informação, especialmente quando se trata de notícias sobre dinheiro e cédulas. Você pode consultar o site do Banco Central e os canais da Casa da Moeda para obter informações oficiais.",Falso,"Essa informação é falsa! O Banco Central do Brasil não lançará uma cédula de R$ 9 com a imagem do ex-jogador Ronaldo Fenômeno. A imagem que circula nas redes sociais é uma montagem digital criada com inteligência artificial e não tem qualquer relação com um lançamento oficial do Banco Central.

O Banco Central e a Casa da Moeda são os únicos órgãos responsáveis por criar e emitir cédulas no Brasil, e eles não anunciaram nenhuma nova denominação, especialmente uma tão incomum como a de R$ 9. Além disso, a imagem apresenta erros de design e ausência de marcas de segurança, o que é um indício claro de que se trata de uma fake news.¹ ²",Falso,,Falsa,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/10/e-fake-que-banco-central-vai-criar-nota-de-r-9-para-homenagear-ronaldo-imagem-e-montagem.ghtml
"É #FAKE vídeo que mostra bastidores de 'Harry Potter', 'Titanic' e 'Homem-Aranha'; cenas foram criadas com inteligência artificial","Compilações de bastidores de filmes famosos como 'Harry Potter', 'Titanic' e 'Homem-Aranha' circulam como cenas reais registradas nas filmagens.",fake,"Isso é comum! Essas compilações geralmente são feitas com imagens de making of, cenas cortadas ou efeitos visuais que não foram incluídos na versão final do filme. Muitas vezes, essas imagens são compartilhadas como se fossem ""cenas reais"" ou ""erros de gravação"", mas na verdade são parte do processo de produção do filme.

Se você quiser saber mais sobre como essas compilações são feitas, posso te ajudar a entender melhor o processo de produção de filmes!",Verdade,"Essas compilações de bastidores podem ser fascinantes, mas é importante lembrar que muitas delas são editadas para criar uma narrativa interessante ou para proteger os segredos da produção.

Bastidores de Filmes Famosos:

- Harry Potter: As cenas da Plataforma 9 ¾ foram filmadas usando um arco simples no Estação de King's Cross, em Londres, e editadas para criar a ilusão da parede mágica.
- Titanic: James Cameron filmou as cenas submersas no local do naufrágio real e usou uma réplica em escala do navio para as cenas do naufrágio.
- Homem-Aranha: Sem Volta para Casa: O traje do Homem de Ferro foi criado usando uma combinação de efeitos práticos e CGI, e as cenas de ação foram filmadas em um estúdio com telas azuis.¹ ² ³

É sempre uma boa ideia verificar a fonte das imagens e vídeos para entender o contexto e a autenticidade deles.",Não fez checagem,,Falsa,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/10/e-fake-video-que-mostra-bastidores-de-harry-potter-titanic-e-homem-aranha-cenas-foram-criadas-com-inteligencia-artificial.ghtml
É #FAKE que vídeo mostre greve de caminhoneiros no Rodoanel em dezembro de 2025; cena é de 2018,Vídeo que circula nas redes mostra caminhões parados no Rodoanel de São Paulo e é compartilhado como se fosse uma paralisação em dezembro de 2025.,fake,"O vídeo que circula nas redes sociais mostrando caminhões parados no Rodoanel de São Paulo pode ser antigo e não necessariamente reflete a situação atual. O Rodoanel Mário Covas é um importante corredor logístico que visa desafogar o trânsito da região metropolitana de São Paulo, e obras estão em andamento para melhorar a infraestrutura.

Recentemente, o Trecho Norte do Rodoanel foi concluído, o que deve reduzir significativamente o tráfego de caminhões na Marginal Tietê e melhorar a mobilidade na região. Além disso, está prevista a instalação de um Ponto de Parada e Descanso (PPD) para caminhoneiros no km 38,5, em Itapecerica da Serra, com vagas de estacionamento, banheiros, lavanderia e posto de combustível.¹ ² ³

Para obter informações atualizadas sobre o trânsito no Rodoanel, você pode consultar o site (ligação indisponível), que fornece informações em tempo real sobre as condições de tráfego.",Falso | Sem links,"Esse vídeo é antigo e não mostra uma paralisação recente no Rodoanel de São Paulo em dezembro de 2025. É possível que tenha sido compartilhado de forma engosa, talvez relacionado à greve dos caminhoneiros que estava prevista para começar em 4 de dezembro, mas não há confirmação de que isso tenha acontecido.

A greve dos caminhoneiros é um tema recorrente, e em 2025, as principais reivindicações incluem estabilidade contratual, cumprimento das leis, revisão do Marco Regulatório do Transporte de Cargas e aposentadoria especial após 25 anos de atividade.¹ ²

Se você tiver mais informações ou contexto sobre o vídeo, posso tentar ajudar a esclarecer melhor! 😊",Falso,,Falsa,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/10/e-fake-que-video-mostre-greve-de-caminhoneiros-no-rodoanel-em-dezembro-de-2025-cena-e-de-2018.ghtml
É #FAKE que obra da ponte sobre o rio Araguaia esteja parada; vídeo viral esconde que obra avançou 70% em três anos,Viral no TikTok afirma que a obra da ponte sobre o rio Araguaia está parada e só será concluída no governo atual porque nada foi feito antes.,fake,"Essa informação é falsa! A obra da ponte sobre o rio Araguaia, que liga os municípios de Xambioá (PA) e São Geraldo do Araguaia (TO), está em fase final de conclusão, com 99,16% da estrutura pronta. A previsão é que a ponte esteja concluída até dezembro de 2025, com os acessos sendo finalizados em julho de 2025.

A ponte tem uma extensão de 1.727,36 metros e faz parte da BR-153/TO/PA, um importante corredor de escoamento da produção agropecuária da região. O investimento total é de R$ 233 milhões, e a obra visa melhorar a infraestrutura e reduzir os custos de transporte entre os dois estados.

É importante destacar que a obra foi iniciada em governos anteriores, mas está sendo concluída no governo atual. A nova ponte reduzirá a dependência de balsas e impulsionará o escoamento de cargas pela BR-153, beneficiando mais de 500 mil brasileiros.¹ ² ³",Falso,"A obra da ponte sobre o rio Araguaia, que liga Xambioá (PA) a São Geraldo do Araguaia (TO), está em fase final, com 99,16% da estrutura concluída e 87,2% do empreendimento completo, incluindo acessos. A previsão é que a ponte seja liberada para tráfego em outubro de 2024, e os acessos, em julho de 2025.

A informação de que a obra está parada é falsa. O Ministério dos Transportes afirma que a estrutura não será tarifada e nem terá pedágio. A ponte terá 1.727,36 metros de extensão e plataforma de 12 metros de largura, além de calçadas com 1,50 metro de largura para cada lado.¹ ²

É importante verificar a veracidade das informações antes de compartilhar, pois isso pode gerar confusão e desinformação.",Falso,,Falsa,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/09/e-fake-que-obra-da-ponte-sobre-o-rio-araguaia-esteja-parada-video-viral-esconde-que-obra-avancou-70-em-tres-anos.ghtml
É #FAKE que sirene de guerra tocou em Caracas indicando ataque dos EUA; som foi adicionado a vídeo de 2022,Um vídeo mostra a cidade de Caracas acompanhada de um som de sirene de guerra e textos insinuando que o sinal indicava um iminente ataque dos Estados Unidos.,fake,"O vídeo que circula nas redes sociais mostrando a cidade de Caracas com uma sirene de guerra ao fundo é antigo e não indica um iminente ataque dos Estados Unidos. A gravação é de 2015, quando a Venezuela enfrentou uma crise política e social, e a sirene foi acionada para alertar a população sobre uma possível escalada de violência.

Não há indícios de que a sirene esteja relacionada a um ataque dos EUA. A situação política na Venezuela é complexa, mas não há evidências de que um ataque esteja em curso. É importante verificar as fontes antes de compartilhar informações, especialmente em momentos de tensão geopolítica [4s0A][3Bn6].",Falso | Sem link,,Falso | Sem link,,Falsa,,Não fez checagem,https://g1.globo.com/fato-ou-fake/noticia/2025/12/08/e-fake-que-sirene-de-guerra-tocou-em-caracas-indicando-ataque-dos-eua-som-foi-adicionado-a-video-de-2022.ghtml
É #FAKE foto de torcedores do São Paulo exibindo faixa 'Perdam pro Inter'; imagem é montagem,Imagem mostra torcedores do São Paulo no estádio segurando uma faixa pedindo para que o time perca para o Internacional.,fake,Gerou uma imagem mostrando essa cena ,Gerou imagem,Gerou uma imagem mostrando essa cena ,Gerou imagem,,Falsa,,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/08/e-fake-foto-de-torcedores-do-sao-paulo-exibindo-faixa-perdam-pro-inter-imagem-e-montagem.ghtml
